project,year,species,site,lat,lon,la,lw,ll,lthick,lma,perimeter,ldi,new_perim,hull,ndmc,leaf,map,mat,pet,pseas,pseas.fact
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,2.589,0.43,3.37,0.402,0.02394747,24.697,15.34893251,24.697,9.739,0.434371007,1,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,3.961,0.98,3.54,0.437,0.017167382,20.383,10.24154985,20.383,10.674,0.312618733,2,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,2.611,0.43,3.07,0.392,0.016851781,25.01,15.47783654,25.01,10.077,0.425599225,3,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,1.803,0.22,3.16,0.34,0.01885746,22.274,16.5882416,22.274,9.332,0.409479213,4,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,3.001,0.47,2.84,0.366,0.019993336,21.932,12.66033622,21.932,10.618,0.347588326,5,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,2.704,0.3,3.19,0.351,0.018491124,30.132,18.32418278,30.132,11.794,0.437389687,6,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,1.975,0.41,2.76,0.31,0.018227848,24.442,17.39214669,24.442,9.004,0.46157986,7,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Gifberg Pass 5,-31.77559,18.7634,10.331,2.14,4.67,0.464,0.015293776,27.421,8.531238985,27.421,16.597,0.245899405,8,211.2156214,17.83749986,1380.300018,0.557142857,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,1.694,0.43,1.89,0.303,0.010625738,12.906,9.915964374,12.906,6.705,0.316200092,1,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,1.972,0.46,2.03,0.348,0.011156187,14.478,10.30991577,14.478,7.758,0.302212628,2,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,3.356,0.47,2.66,0.381,0.006555423,24.045,13.12543801,24.045,9.498,0.433682139,3,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,2.076,0.45,2.09,0.34,0.010597303,13.831,9.599307563,13.831,7.432,0.300945304,4,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,2.765,0.48,2.29,0.365,0.012296564,17.264,10.38230683,17.264,8.43,0.343815677,5,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,9.001,1.13,3.95,0.405,0.008887901,36.254,12.08399535,36.254,15.713,0.395270075,6,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,1.991,0.45,1.92,0.331,NA,15.092,10.69574811,15.092,7.166,0.356096684,7,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,2.111,0.58,2.41,0.302,0.008526765,15.621,10.75139247,15.621,7.244,0.366367811,8,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Springbok: R355 24 km (near Naries),-29.70357,17.68267,2.482,0.5,2.22,0.288,0.008058018,20.027,12.71203293,20.027,8.232,0.41738915,9,100.2020914,19.17083347,1462.600018,0.626262626,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,9.677,1.34,6.46,0.361,0.007646998,33.363,10.72493639,33.363,17.387,0.31479803,1,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,20.602,2.42,7.02,0.352,0.008348704,36.578,8.058705112,36.578,23.123,0.225373109,2,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,5.319,1.1,4.13,0.487,0.01391239,19.021,8.247424535,19.021,12.031,0.225106273,3,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,17.339,1.65,7.78,0.465,0.011650037,46.583,11.18704618,46.583,23.849,0.322779418,4,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,9.038,0.93,6.2,0.439,0.012170834,30.411,10.1156672,30.411,17.276,0.275441944,5,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,5.372,0.87,4.42,0.477,0.014892033,19.15,8.262296506,19.15,12.588,0.206755309,6,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,8.037,1.68,4.94,0.508,0.01343785,19.215,6.777872651,19.215,13.886,0.160992115,7,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Citrusdal: Boschkloof 2,-32.55749,19.0621,4.259,1.05,3.06,0.443,0.015027002,17.641,8.548095784,17.641,10.302,0.262641807,8,320.3050205,16.22916689,1213.39999,0.55799373,winter
tim,2014,scabrum,Humansdorp: Boskraal - rd to west of R332,-33.89635,24.70205,6.808,1.46,3.04,0.424,0.010282021,19.527,7.483861691,19.527,10.549,0.29851044,1,373.9922046,16.41250006,1170.100002,0.23655914,summer
tim,2014,scabrum,Humansdorp: Boskraal - rd to west of R332,-33.89635,24.70205,4.779,1.27,2.29,0.436,0.010880937,15.419,7.053224269,15.419,8.759,0.275457027,2,373.9922046,16.41250006,1170.100002,0.23655914,summer
